,H_modelled,H_modelled_grad,H_modelled_lapl,v_modelled,v_modelled_grad,v_modelled_lapl,boundary_proximity,elevation1,elevation1_gradient,elevation1_laplacian,elevation2,elevation2_gradient,elevation2_laplacian,glacier,H,x,y,fold,elevation_diff
64,63.36376,1.3429787,9.536743e-07,2.0453486,0.11630186,-5.9604645e-08,72.52386,442.80963,0.077252544,-0.0007588386,436.42328,0.054933105,0.0030768395,scottturnerbreen,9.41974387,521049.812,8669748.101,2,-6.3863525
65,74.68734,2.535824,0.07076645,3.7388623,0.41053692,0.016683638,61.388798,440.74484,0.050676424,-0.002750206,435.0586,0.07196709,-0.0003311159,scottturnerbreen,5.57229496,521088.849,8669802.671,2,-5.686249
66,55.255386,0.31177953,0.25895977,1.2474418,0.06817119,0.032567203,69.54586,445.8082,0.06579237,-0.0008442879,440.55518,0.08268661,0.0009978293,scottturnerbreen,7.47523699,521005.605,8669708.484,2,-5.2530212
67,58.59362,2.0705101,-0.124765396,1.648087,0.23363705,0.016918153,71.358536,446.47925,0.08189904,0.0054521565,442.73782,0.07678333,3.5858364e-05,scottturnerbreen,7.47523699,520981.993,8669690.65,2,-3.7414246
68,65.44704,1.3061249,1.18997,2.2028737,0.124339856,0.232431,64.10782,442.6038,0.07369558,-0.0005237579,437.09787,0.031770132,-0.0060984613,scottturnerbreen,10.99210682,521067.52,8669773.489,2,-5.5059204
69,72.391525,3.098467,0.5359535,3.2338874,0.4708993,0.12635761,48.182076,441.54,0.069596335,0.0024455073,435.99734,0.044182163,0.003318119,scottturnerbreen,6.94811701,521077.475,8669796.315,2,-5.5426636
70,71.367836,1.4941329,-0.95160675,4.9433746,0.21945399,-0.094266295,111.55932,471.99023,0.08205259,-0.0031889915,467.2851,0.078142196,-0.0013701441,scottturnerbreen,11.51567677,520725.429,8669494.605,-1,-4.705139
71,26.38613,2.2491899,1.4980373,2.0667315,0.63673544,0.49549574,160.1663,494.31192,0.09321569,0.00066309003,490.54465,0.116410136,0.0032639508,scottturnerbreen,20.44908956,520547.856,8669268.617,-1,-3.767273
72,35.532436,3.5912838,-0.002562046,7.3573017,0.853594,-0.05238545,177.05,506.96347,0.13032454,-0.00059108716,504.36954,0.115003765,0.002774906,scottturnerbreen,23.73601648,520489.358,8669189.747,-1,-2.593933
73,50.867077,1.4086853,-0.259593,4.8304996,0.4996068,-0.08757812,168.32678,531.3157,0.17844673,0.00019941293,532.4277,0.21384883,-0.0014310842,scottturnerbreen,21.17962738,520349.083,8669084.583,3,1.1119995
74,49.831947,0.74352455,0.40853882,5.9403253,0.502811,0.26076972,182.45775,581.5206,0.19331816,0.0015427591,583.8659,0.1876274,8.201599e-05,scottturnerbreen,30.88077539,520225.245,8668848.175,3,2.3452759
75,49.675632,0.7383063,0.70014095,5.885398,0.529911,0.40278184,196.78316,585.45874,0.19703901,0.0023667333,587.85974,0.18677711,0.0010025022,scottturnerbreen,30.20292518,520227.185,8668816.294,3,2.401001
